
 iteration number 2 ; error 1.3432734040960568 ; parameters [0.21991132 0.49999227 0.98084129 1.         0.75059149] 

 iteration number 3 ; error 1.2613198596169524 ; parameters [0.45510822 0.50360516 0.85322561 0.89820979 0.68085381] 

 iteration number 4 ; error 1.2322754483189624 ; parameters [0.45870771 0.49992514 0.85322561 1.         0.68085381] 

 iteration number 5 ; error 1.1381406393273183 ; parameters [0.49125438 0.50095719 0.73001966 0.75810377 0.50613254] 

 iteration number 6 ; error 1.130041760356036 ; parameters [0.49125438 0.50095719 0.49463388 0.83177974 0.50613254] 

 iteration number 7 ; error 0.00684518902205178 ; parameters [0.50004784 0.49984023 0.49463388 0.50008386 0.50613254] 

 iteration number 1 ; error 10.335402761600303 ; parameters [0.87910311 0.21805044 0.73558562 0.79151073 0.85041314] 

 iteration number 2 ; error 1.3412687043207052 ; parameters [0.70307198 0.50035116 0.73558562 1.         0.85041314] 

 iteration number 3 ; error 1.3000584091853962 ; parameters [0.45329776 0.50673751 0.16004441 0.80147071 0.62011544] 

 iteration number 4 ; error 0.005429496580605943 ; parameters [0.4998619  0.50019465 0.16004441 0.50310635 0.62011544] 

 iteration number 1 ; error 1.4709244635025471 ; parameters [0.43359928 0.51054271 0.5782944  0.51684596 0.96119604] 

 iteration number 2 ; error 1.3232575532824102 ; parameters [0.42984102 0.49999534 0.5782944  1.         0.96119604] 

 iteration number 3 ; error 0.41407993230621015 ; parameters [0.50546194 0.47436493 0.05637431 0.99931335 0.83484324] 

 iteration number 4 ; error 0.0055628641925704065 ; parameters [0.500039   0.49988987 0.05637431 0.4996126  0.83484324] 

 iteration number 1 ; error 1.4816259605034579 ; parameters [0.29501397 0.49227275 0.19616059 0.289707   0.74234835] 

 iteration number 2 ; error 1.3408871562817606 ; parameters [0.29672816 0.49999391 0.19616059 1.         0.74234835] 

 iteration number 3 ; error 1.3102512216321032 ; parameters [0.53662149 0.49909329 0.80686489 0.74482262 0.87518377] 

 iteration number 4 ; error 1.2854529747011518 ; parameters [0.53662149 0.49909329 0.14466693 0.93785249 0.87518377] 

 iteration number 5 ; error 1.2323771558129728 ; parameters [0.54118132 0.50006332 0.14466693 1.         0.87518377] 

 iteration number 6 ; error 0.7303082811239504 ; parameters [0.50510868 0.50006332 0.14466693 1.         0.87518377] 

 iteration number 7 ; error 0.006010627934347027 ; parameters [0.49988944 0.5000579  0.14466693 0.49965884 0.87518377] 

 iteration number 1 ; error 0.9135669683427643 ; parameters [0.50903958 0.4852503  0.92997747 0.37350394 0.30828333] 

 iteration number 2 ; error 0.0055571287502146835 ; parameters [0.50004796 0.49987224 0.92997747 0.49823134 0.30828333] 

 iteration number 1 ; error 10.494054390628591 ; parameters [0.74987903 0.7663886  0.81191732 0.41833106 0.35040829] 

 iteration number 2 ; error 4.369734713027439 ; parameters [0.39571013 0.4122197  0.9795101  0.06416216 0.99623939] 

 iteration number 3 ; error 1.232443943773411 ; parameters [0.54112537 0.50006322 0.9795101  1.         0.99623939] 

 iteration number 4 ; error 1.0747203473033682 ; parameters [0.50896193 0.49172366 0.28598548 0.01956168 0.87726686] 

 iteration number 5 ; error 1.020064324507874 ; parameters [0.50896193 0.49172366 0.96227179 0.46766846 0.87726686] 

 iteration number 6 ; error 0.006035978160279662 ; parameters [0.49985219 0.50000763 0.96227179 0.49945436 0.87726686] 

 iteration number 1 ; error 4.001710240521095 ; parameters [0.74192701 0.39400196 0.65741029 0.84266913 0.37888182] 

 iteration number 2 ; error 1.4731716161472943 ; parameters [0.99155797 0.49921615 0.90704125 0.09230009 0.48409602] 

 iteration number 3 ; error 1.34079105974532 ; parameters [0.97542299 0.49999379 0.90704125 1.         0.48409602] 

 iteration number 4 ; error 0.6932034999422709 ; parameters [0.49488685 0.53300044 0.92307541 0.91699931 0.65387399] 

 iteration number 5 ; error 0.007506574902976417 ; parameters [0.49993088 0.49996379 0.92307541 0.49639365 0.65387399] 

 iteration number 1 ; error 15.876826583969132 ; parameters [0.26059056 0.11118704 0.94604669 0.73056095 0.59041905] 

 iteration number 2 ; error 7.37790152845894 ; parameters [0.99116422 0.29995839 0.04867031 0.83318456 0.77919039] 

 iteration number 3 ; error 2.9788592694907465 ; parameters [0.34228186 0.55541098 0.74713065 0.08863716 0.68730029] 

 iteration number 4 ; error 2.923072917394288 ; parameters [0.03910277 0.55541098 0.74713065 0.08863716 0.68730029] 

 iteration number 5 ; error 1.3408719869618606 ; parameters [0.02426333 0.49999484 0.74713065 1.         0.68730029] 

 iteration number 1 ; error 5.38401334657825 ; parameters [0.90134645 0.36506775 0.64664692 0.51348937 0.76216948] 

 iteration number 2 ; error 3.193804176834408 ; parameters [0.96027532 0.42399663 0.7055758  0.63820708 0.8868872 ] 

 iteration number 3 ; error 1.3482934850723416 ; parameters [1.         0.49999495 0.7055758  1.         0.8868872 ] 

 iteration number 1 ; error 3.1771600736564167 ; parameters [0.18804164 0.56160443 0.49780905 0.10522114 0.20625719] 

 iteration number 2 ; error 2.6377698821853066 ; parameters [0.72274134 0.44407119 0.8759625  0.62499158 0.82617618] 

 iteration number 3 ; error 1.3421994905762882 ; parameters [0.80568038 0.49999345 0.8759625  1.         0.82617618] 

 iteration number 1 ; error 14.476152215292826 ; parameters [0.80447976 0.84717926 0.70568499 0.09205624 0.24035516] 

 iteration number 2 ; error 9.237925655812727 ; parameters [0.28336596 0.70129709 0.55980282 0.19490294 0.09447299] 

